Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-05-16 19:00:00;"Monday 16 May 2022";"Running (Treadmill)";1;;;;;0.40;;0;"";"";2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Running (Treadmill)";2;;;;;0.80;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Running (Treadmill)";3;;;;;0.40;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Chin Up (Assisted)";1;10;kg;10;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Chin Up (Assisted)";2;20;kg;10;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";1;10;kg;20;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";2;10;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";3;12.5;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";4;12.5;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";5;15;kg;13;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Bent Over One Arm Row (Dumbbell)";6;15;kg;13;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"T Bar Row";1;10;kg;15;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"T Bar Row";2;10;kg;15;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"T Bar Row";3;20;kg;10;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"T Bar Row";4;15;kg;12;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Lat pulldown - Close Grip (Cable)";1;35;kg;25;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Lat pulldown - Close Grip (Cable)";2;45;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Lat pulldown - Close Grip (Cable)";3;50;kg;15;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Lat pulldown - Close Grip (Cable)";4;50;kg;15;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Seated Row (Cable)";1;35;kg;20;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Seated Row (Cable)";2;45;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Seated Row (Cable)";3;45;kg;5;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Seated Row (Cable)";4;50;kg;20;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Seated Row (Cable)";5;50;kg;10;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Deadlift (Barbell)";1;30;kg;10;;;;0;"";;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Deadlift (Barbell)";2;40;kg;6;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Deadlift (Barbell)";3;30;kg;10;;;;0;;;2h
2022-05-16 19:00:00;"Monday 16 May 2022";"Deadlift (Barbell)";4;30;kg;8;;;;0;;;2h
2022-05-17 18:52:20;"Tuesday 17 May 2022";"Running (Treadmill)";1;;;;;0.40;;0;"";"";1h 45m
2022-05-17 18:52:20;"Tuesday 17 May 2022";"Running (Treadmill)";2;;;;;0.80;;0;;;1h 45m
2022-05-17 18:52:20;"Tuesday 17 May 2022";"Running (Treadmill)";3;;;;;0.50;;0;;;1h 45m
